mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	1/4	4/4	2	1	E.I6{	E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
1	0	1/2	1/2	0.5	1/8	3/8	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
1	0	1	1	0.5	1/4	1/2	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	0	3/2	3/2	0.5	3/8	5/8	4/4	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	0	2	2	0.5	1/2	3/4	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
1	0	5/2	5/2	0.5	5/8	7/8	4/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	3	3	0.5	0	0	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	1	7/2	7/2	0.5	1/8	1/8	4/4	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	1	4	4	0.5	1/4	1/4	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	1	9/2	9/2	0.5	3/8	3/8	4/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	5	5	0.5	1/2	1/2	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	1	11/2	11/2	0.5	5/8	5/8	4/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
2	1	6	6	0.5	3/4	3/4	4/4	2	1	ii65/V	E	I		ii65/V	ii		65		V			mm7	0	0	0, 4, 1, 3		3	0
2	1	13/2	13/2	0.5	7/8	7/8	4/4	2	1	V64/V	E	I		V64/V	V		64		V			M	0	0	3, 2, 6		2	3
3	2	7	7	0.5	0	0	4/4	2	1	I/V|PAC}	E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
3	2	15/2	15/2	0.5	1/8	1/8	4/4	2	1	V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	2	8	8	0.5	1/4	1/4	4/4	2	1	I6{	E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
3	2	17/2	17/2	0.5	3/8	3/8	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
3	2	9	9	0.5	1/2	1/2	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	19/2	19/2	0.5	5/8	5/8	4/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	2	10	10	0.5	3/4	3/4	4/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	21/2	21/2	0.5	7/8	7/8	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
4	3	11	11	0.5	0	0	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	3	23/2	23/2	0.5	1/8	1/8	4/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
4	3	12	12	0.5	1/4	1/4	4/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	25/2	25/2	0.5	3/8	3/8	4/4	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
4	3	13	13	0.5	1/2	1/2	4/4	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
